epoch	hours	top1Accuracy
0	0.00076184	54.10
1	0.00152155	69.75
2	0.00228873	74.86
3	0.00304656	77.43
4	0.00380800	76.85
5	0.00456520	81.16
6	0.00532343	79.55
7	0.00608504	82.13
8	0.00684423	85.59
9	0.00760555	82.06
10	0.00836456	86.31
11	0.00912202	86.92
12	0.00988999	86.68
13	0.01064889	89.29
14	0.01141324	89.76
15	0.01217398	87.84
16	0.01293698	88.24
17	0.01368602	90.64
18	0.01444471	91.07
19	0.01519945	90.95
20	0.01596320	91.98
21	0.01672629	92.46
22	0.01748829	93.05
23	0.01825143	93.88
24	0.01901355	94.20
